ID;Vyrobce;Model;Typ;Puvod;Nahon;Cena_prodej;Cena_autosalon;Motor;Valce;Horsepower;Mesto_MPG;Dalnice_MPG;Vaha;Delka
1;Acura;MDX;SUV;Asia;All;36,9;33,3;3,5;6,0;265,0;17,0;23,0;4451,0;189,0
2;Acura;RSX Type S 2dr;Sedan;Asia;Front;23,8;21,8;2,0;4,0;200,0;24,0;31,0;2778,0;172,0
3;Acura;TSX 4dr;Sedan;Asia;Front;27,0;24,6;2,4;4,0;200,0;22,0;29,0;3230,0;183,0
4;Acura;TL 4dr;Sedan;Asia;Front;33,2;30,3;3,2;6,0;270,0;20,0;28,0;3575,0;186,0
5;Acura;3.5 RL 4dr;Sedan;Asia;Front;43,8;39,0;3,5;6,0;225,0;18,0;24,0;3880,0;197,0
6;Acura;3.5 RL w/Navigation 4dr;Sedan;Asia;Front;46,1;41,1;3,5;6,0;225,0;18,0;24,0;3893,0;197,0
7;Acura;NSX coupe 2dr manual S;Sports;Asia;Rear;89,8;80,0;3,2;6,0;290,0;17,0;24,0;3153,0;174,0
8;Audi;A4 1.8T 4dr;Sedan;Europe;Front;25,9;23,5;1,8;4,0;170,0;22,0;31,0;3252,0;179,0
9;Audi;A41.8T convertible 2dr;Sedan;Europe;Front;35,9;32,5;1,8;4,0;170,0;23,0;30,0;3638,0;180,0
10;Audi;A4 3.0 4dr;Sedan;Europe;Front;31,8;28,8;3,0;6,0;220,0;20,0;28,0;3462,0;179,0
11;Audi;A4 3.0 Quattro 4dr manual;Sedan;Europe;All;33,4;30,4;3,0;6,0;220,0;17,0;26,0;3583,0;179,0
12;Audi;A4 3.0 Quattro 4dr auto;Sedan;Europe;All;34,5;31,4;3,0;6,0;220,0;18,0;25,0;3627,0;179,0
13;Audi;A6 3.0 4dr;Sedan;Europe;Front;36,6;33,1;3,0;6,0;220,0;20,0;27,0;3561,0;192,0
14;Audi;A6 3.0 Quattro 4dr;Sedan;Europe;All;39,6;36,0;3,0;6,0;220,0;18,0;25,0;3880,0;192,0
15;Audi;A4 3.0 convertible 2dr;Sedan;Europe;Front;42,5;38,3;3,0;6,0;220,0;20,0;27,0;3814,0;180,0
16;Audi;A4 3.0 Quattro convertible 2dr;Sedan;Europe;All;44,2;40,1;3,0;6,0;220,0;18,0;25,0;4013,0;180,0
17;Audi;A6 2.7 Turbo Quattro 4dr;Sedan;Europe;All;42,8;38,8;2,7;6,0;250,0;18,0;25,0;3836,0;192,0
18;Audi;A6 4.2 Quattro 4dr;Sedan;Europe;All;49,7;44,9;4,2;8,0;300,0;17,0;24,0;4024,0;193,0
19;Audi;A8 L Quattro 4dr;Sedan;Europe;All;69,2;64,7;4,2;8,0;330,0;17,0;24,0;4399,0;204,0
20;Audi;S4 Quattro 4dr;Sedan;Europe;All;48,0;43,6;4,2;8,0;340,0;14,0;20,0;3825,0;179,0
21;Audi;RS 6 4dr;Sports;Europe;Front;84,6;76,4;4,2;8,0;450,0;15,0;22,0;4024,0;191,0
22;Audi;TT 1.8 convertible 2dr (coupe);Sports;Europe;Front;35,9;32,5;1,8;4,0;180,0;20,0;28,0;3131,0;159,0
23;Audi;TT 1.8 Quattro 2dr (convertible);Sports;Europe;All;37,4;33,9;1,8;4,0;225,0;20,0;28,0;2921,0;159,0
24;Audi;TT 3.2 coupe 2dr (convertible);Sports;Europe;All;40,6;36,7;3,2;6,0;250,0;21,0;29,0;3351,0;159,0
25;Audi;A6 3.0 Avant Quattro;Wagon;Europe;All;40,8;37,1;3,0;6,0;220,0;18,0;25,0;4035,0;192,0
26;Audi;S4 Avant Quattro;Wagon;Europe;All;49,1;44,4;4,2;8,0;340,0;15,0;21,0;3936,0;179,0
27;BMW;X3 3.0i;SUV;Europe;All;37,0;33,9;3,0;6,0;225,0;16,0;23,0;4023,0;180,0
28;BMW;X5 4.4i;SUV;Europe;All;52,2;47,7;4,4;8,0;325,0;16,0;22,0;4824,0;184,0
29;BMW;325i 4dr;Sedan;Europe;Rear;28,5;26,2;2,5;6,0;184,0;20,0;29,0;3219,0;176,0
30;BMW;325Ci 2dr;Sedan;Europe;Rear;30,8;28,2;2,5;6,0;184,0;20,0;29,0;3197,0;177,0
31;BMW;325Ci convertible 2dr;Sedan;Europe;Rear;38,0;34,8;2,5;6,0;184,0;19,0;27,0;3560,0;177,0
32;BMW;325xi 4dr;Sedan;Europe;All;30,2;27,7;2,5;6,0;184,0;19,0;27,0;3461,0;176,0
33;BMW;330i 4dr;Sedan;Europe;Rear;35,5;32,5;3,0;6,0;225,0;20,0;30,0;3285,0;176,0
34;BMW;330Ci 2dr;Sedan;Europe;Rear;37,0;33,9;3,0;6,0;225,0;20,0;30,0;3285,0;176,0
35;BMW;330xi 4dr;Sedan;Europe;All;37,2;34,1;3,0;6,0;225,0;20,0;29,0;3483,0;176,0
36;BMW;525i 4dr;Sedan;Europe;Rear;40,0;36,6;2,5;6,0;184,0;19,0;28,0;3428,0;191,0
37;BMW;330Ci convertible 2dr;Sedan;Europe;Rear;44,3;40,5;3,0;6,0;225,0;19,0;28,0;3616,0;177,0
38;BMW;530i 4dr;Sedan;Europe;Rear;45,0;41,2;3,0;6,0;225,0;20,0;30,0;3472,0;191,0
39;BMW;545iA 4dr;Sedan;Europe;Rear;55,0;50,3;4,4;8,0;325,0;18,0;26,0;3814,0;191,0
40;BMW;745i 4dr;Sedan;Europe;Rear;69,2;63,2;4,4;8,0;325,0;18,0;26,0;4376,0;198,0
41;BMW;745Li 4dr;Sedan;Europe;Rear;73,2;66,8;4,4;8,0;325,0;18,0;26,0;4464,0;204,0
42;BMW;M3 coupe 2dr;Sports;Europe;Rear;48,2;44,2;3,2;6,0;333,0;16,0;24,0;3415,0;177,0
43;BMW;M3 convertible 2dr;Sports;Europe;Rear;56,6;51,8;3,2;6,0;333,0;16,0;23,0;3781,0;177,0
44;BMW;Z4 convertible 2.5i 2dr;Sports;Europe;Rear;33,9;31,1;2,5;6,0;184,0;20,0;28,0;2932,0;161,0
45;BMW;Z4 convertible 3.0i 2dr;Sports;Europe;Rear;41,0;37,6;3,0;6,0;225,0;21,0;29,0;2998,0;161,0
46;BMW;325xi Sport;Wagon;Europe;All;32,8;30,1;2,5;6,0;184,0;19,0;26,0;3594,0;176,0
47;Buick;Rainier;SUV;USA;All;37,9;34,4;4,2;6,0;275,0;15,0;21,0;4600,0;193,0
48;Buick;Rendezvous CX;SUV;USA;Front;26,5;24,1;3,4;6,0;185,0;19,0;26,0;4024,0;187,0
49;Buick;Century Custom 4dr;Sedan;USA;Front;22,2;20,4;3,1;6,0;175,0;20,0;30,0;3353,0;195,0
50;Buick;LeSabre Custom 4dr;Sedan;USA;Front;26,5;24,3;3,8;6,0;205,0;20,0;29,0;3567,0;200,0
51;Buick;Regal LS 4dr;Sedan;USA;Front;24,9;22,8;3,8;6,0;200,0;20,0;30,0;3461,0;196,0
52;Buick;Regal GS 4dr;Sedan;USA;Front;28,3;26,0;3,8;6,0;240,0;18,0;28,0;3536,0;196,0
53;Buick;LeSabre Limited 4dr;Sedan;USA;Front;32,2;29,6;3,8;6,0;205,0;20,0;29,0;3591,0;200,0
54;Buick;Park Avenue 4dr;Sedan;USA;Front;35,5;32,2;3,8;6,0;205,0;20,0;29,0;3778,0;207,0
55;Buick;Park Avenue Ultra 4dr;Sedan;USA;Front;40,7;36,9;3,8;6,0;240,0;18,0;28,0;3909,0;207,0
56;Cadillac;Escalade;SUV;USA;Front;52,8;48,4;5,3;8,0;295,0;14,0;18,0;5367,0;199,0
57;Cadillac;SRX V8;SUV;USA;Front;47,0;43,5;4,6;8,0;320,0;16,0;21,0;4302,0;195,0
58;Cadillac;CTS VVT 4dr;Sedan;USA;Rear;30,8;28,6;3,6;6,0;255,0;18,0;25,0;3694,0;190,0
59;Cadillac;Deville 4dr;Sedan;USA;Front;45,4;41,7;4,6;8,0;275,0;18,0;26,0;3984,0;207,0
60;Cadillac;Deville DTS 4dr;Sedan;USA;Front;50,6;46,4;4,6;8,0;300,0;18,0;26,0;4044,0;207,0
61;Cadillac;Seville SLS 4dr;Sedan;USA;Front;48,0;43,8;4,6;8,0;275,0;18,0;26,0;3992,0;201,0
62;Cadillac;XLR convertible 2dr;Sports;USA;Rear;76,2;70,5;4,6;8,0;320,0;17,0;25,0;3647,0;178,0
63;Cadillac;Escalade EXT;Truck;USA;All;53,0;48,5;6,0;8,0;345,0;13,0;17,0;5879,0;221,0
64;Chevrolet;Suburban 1500 LT;SUV;USA;Front;42,7;37,4;5,3;8,0;295,0;14,0;18,0;4947,0;219,0
65;Chevrolet;Tahoe LT;SUV;USA;All;41,5;36,3;5,3;8,0;295,0;14,0;18,0;5050,0;197,0
66;Chevrolet;TrailBlazer LT;SUV;USA;Front;30,3;27,5;4,2;6,0;275,0;16,0;21,0;4425,0;192,0
67;Chevrolet;Tracker;SUV;USA;Front;20,3;19,1;2,5;6,0;165,0;19,0;22,0;2866,0;163,0
68;Chevrolet;Aveo 4dr;Sedan;USA;Front;11,7;11,0;1,6;4,0;103,0;28,0;34,0;2370,0;167,0
69;Chevrolet;Aveo LS 4dr hatch;Sedan;USA;Front;12,6;11,8;1,6;4,0;103,0;28,0;34,0;2348,0;153,0
70;Chevrolet;Cavalier 2dr;Sedan;USA;Front;14,6;13,7;2,2;4,0;140,0;26,0;37,0;2617,0;183,0
71;Chevrolet;Cavalier 4dr;Sedan;USA;Front;14,8;13,9;2,2;4,0;140,0;26,0;37,0;2676,0;183,0
72;Chevrolet;Cavalier LS 2dr;Sedan;USA;Front;16,4;15,4;2,2;4,0;140,0;26,0;37,0;2617,0;183,0
73;Chevrolet;Impala 4dr;Sedan;USA;Front;21,9;20,1;3,4;6,0;180,0;21,0;32,0;3465,0;200,0
74;Chevrolet;Malibu 4dr;Sedan;USA;Front;19,0;17,4;2,2;4,0;145,0;24,0;34,0;3174,0;188,0
75;Chevrolet;Malibu LS 4dr;Sedan;USA;Front;20,4;18,6;3,5;6,0;200,0;22,0;30,0;3297,0;188,0
76;Chevrolet;Monte Carlo LS 2dr;Sedan;USA;Front;21,8;20,0;3,4;6,0;180,0;21,0;32,0;3340,0;198,0
77;Chevrolet;Impala LS 4dr;Sedan;USA;Front;25,0;22,9;3,8;6,0;200,0;20,0;30,0;3476,0;200,0
78;Chevrolet;Impala SS 4dr;Sedan;USA;Front;28,0;25,7;3,8;6,0;240,0;18,0;28,0;3606,0;200,0
79;Chevrolet;Malibu LT 4dr;Sedan;USA;Front;23,5;21,6;3,5;6,0;200,0;23,0;32,0;3315,0;188,0
80;Chevrolet;Monte Carlo SS 2dr;Sedan;USA;Front;24,2;22,2;3,8;6,0;200,0;18,0;28,0;3434,0;198,0
81;Chevrolet;Astro;Sedan;USA;All;26,4;24,0;4,3;6,0;190,0;14,0;17,0;4605,0;190,0
82;Chevrolet;Venture LS;Sedan;USA;Front;27,0;24,5;3,4;6,0;185,0;19,0;26,0;3699,0;187,0
83;Chevrolet;Corvette 2dr;Sports;USA;Rear;44,5;39,1;5,7;8,0;350,0;18,0;25,0;3246,0;180,0
84;Chevrolet;Corvette convertible 2dr;Sports;USA;Rear;51,5;45,2;5,7;8,0;350,0;18,0;25,0;3248,0;180,0
85;Chevrolet;Avalanche 1500;Truck;USA;All;36,1;31,7;5,3;8,0;295,0;14,0;18,0;5678,0;222,0
86;Chevrolet;Colorado Z85;Truck;USA;All;18,8;17,1;2,8;4,0;175,0;18,0;23,0;3623,0;192,0
87;Chevrolet;Silverado 1500 Regular Cab;Truck;USA;Rear;20,3;18,5;4,3;6,0;200,0;15,0;21,0;4142,0;206,0
88;Chevrolet;Silverado SS;Truck;USA;All;40,3;35,4;6,0;8,0;300,0;13,0;17,0;4804,0;238,0
89;Chevrolet;SSR;Truck;USA;Rear;42,0;39,3;5,3;8,0;300,0;16,0;19,0;4760,0;191,0
90;Chevrolet;Malibu Maxx LS;Wagon;USA;Front;22,2;20,4;3,5;6,0;200,0;22,0;30,0;3458,0;188,0
91;Chrysler;PT Cruiser 4dr;Sedan;USA;Front;18,0;16,9;2,4;4,0;150,0;22,0;29,0;3101,0;169,0
92;Chrysler;PT Cruiser Limited 4dr;Sedan;USA;Front;22,0;20,6;2,4;4,0;150,0;22,0;29,0;3105,0;169,0
93;Chrysler;Sebring 4dr;Sedan;USA;Front;19,1;17,8;2,4;4,0;150,0;22,0;30,0;3173,0;191,0
94;Chrysler;Sebring Touring 4dr;Sedan;USA;Front;21,8;20,3;2,7;6,0;200,0;21,0;28,0;3222,0;191,0
95;Chrysler;300M 4dr;Sedan;USA;Front;29,9;27,8;3,5;6,0;250,0;18,0;27,0;3581,0;198,0
96;Chrysler;Concorde LX 4dr;Sedan;USA;Front;24,1;22,5;2,7;6,0;200,0;21,0;29,0;3479,0;208,0
97;Chrysler;Concorde LXi 4dr;Sedan;USA;Front;26,9;24,9;3,5;6,0;232,0;19,0;27,0;3548,0;208,0
98;Chrysler;PT Cruiser GT 4dr;Sedan;USA;Front;26,0;24,2;2,4;4,0;220,0;21,0;27,0;3217,0;169,0
99;Chrysler;Sebring convertible 2dr;Sedan;USA;Front;25,2;23,5;2,4;4,0;150,0;22,0;30,0;3357,0;194,0
100;Chrysler;300M Special Edition 4dr;Sedan;USA;Front;33,3;30,9;3,5;6,0;255,0;18,0;27,0;3650,0;198,0
101;Chrysler;Sebring Limited convertible 2dr;Sedan;USA;Front;31,0;28,6;2,7;6,0;200,0;21,0;28,0;3448,0;194,0
102;Chrysler;Town and Country LX;Sedan;USA;Front;27,5;25,4;3,3;6,0;180,0;19,0;26,0;4068,0;201,0
103;Chrysler;Town and Country Limited;Sedan;USA;Front;38,4;35,1;3,8;6,0;215,0;18,0;25,0;4331,0;201,0
104;Chrysler;Crossfire 2dr;Sports;USA;Rear;34,5;32,0;3,2;6,0;215,0;17,0;25,0;3060,0;160,0
105;Chrysler;Pacifica;Wagon;USA;Rear;31,2;28,7;3,5;6,0;250,0;17,0;23,0;4675,0;199,0
106;Dodge;Durango SLT;SUV;USA;All;32,2;29,5;4,7;8,0;230,0;15,0;21,0;4987,0;201,0
107;Dodge;Neon SE 4dr;Sedan;USA;Front;13,7;12,8;2,0;4,0;132,0;29,0;36,0;2581,0;174,0
108;Dodge;Neon SXT 4dr;Sedan;USA;Front;15,0;14,1;2,0;4,0;132,0;29,0;36,0;2626,0;174,0
109;Dodge;Intrepid SE 4dr;Sedan;USA;Front;22,0;20,5;2,7;6,0;200,0;21,0;29,0;3469,0;204,0
110;Dodge;Stratus SXT 4dr;Sedan;USA;Front;18,8;17,5;2,4;4,0;150,0;21,0;28,0;3182,0;191,0
111;Dodge;Stratus SE 4dr;Sedan;USA;Front;20,2;18,8;2,4;4,0;150,0;21,0;28,0;3175,0;191,0
112;Dodge;Intrepid ES 4dr;Sedan;USA;Front;24,9;23,1;3,5;6,0;232,0;18,0;27,0;3487,0;204,0
113;Dodge;Caravan SE;Sedan;USA;Front;21,8;20,5;2,4;4,0;150,0;20,0;26,0;3862,0;189,0
114;Dodge;Grand Caravan SXT;Sedan;USA;All;32,7;29,8;3,8;6,0;215,0;18,0;25,0;4440,0;201,0
115;Dodge;Viper SRT-10 convertible 2dr;Sports;USA;Rear;81,8;74,5;8,3;10,0;500,0;12,0;20,0;3410,0;176,0
116;Dodge;Dakota Regular Cab;Truck;USA;Rear;17,6;16,3;3,7;6,0;210,0;16,0;22,0;3714,0;193,0
117;Dodge;Dakota Club Cab;Truck;USA;Rear;20,3;18,7;3,7;6,0;210,0;16,0;22,0;3829,0;219,0
118;Dodge;Ram 1500 Regular Cab ST;Truck;USA;Rear;20,2;18,1;3,7;6,0;215,0;16,0;21,0;4542,0;208,0
119;Ford;Excursion 6.8 XLT;SUV;USA;All;41,5;36,5;6,8;10,0;310,0;10,0;13,0;7190,0;227,0
120;Ford;Expedition 4.6 XLT;SUV;USA;Front;34,6;30,5;4,6;8,0;232,0;15,0;19,0;5000,0;206,0
121;Ford;Explorer XLT V6;SUV;USA;All;29,7;27,0;4,0;6,0;210,0;15,0;20,0;4463,0;190,0
122;Ford;Escape XLS;SUV;USA;All;22,5;20,9;3,0;6,0;201,0;18,0;23,0;3346,0;173,0
123;Ford;Focus ZX3 2dr hatch;Sedan;USA;Front;13,3;12,5;2,0;4,0;130,0;26,0;33,0;2612,0;168,0
124;Ford;Focus LX 4dr;Sedan;USA;Front;13,7;12,9;2,0;4,0;110,0;27,0;36,0;2606,0;168,0
125;Ford;Focus SE 4dr;Sedan;USA;Front;15,5;14,5;2,0;4,0;130,0;26,0;33,0;2606,0;168,0
126;Ford;Focus ZX5 5dr;Sedan;USA;Front;15,6;14,6;2,0;4,0;130,0;26,0;33,0;2691,0;168,0
127;Ford;Focus SVT 2dr;Sedan;USA;Front;19,1;17,9;2,0;4,0;170,0;21,0;28,0;2750,0;168,0
128;Ford;Taurus LX 4dr;Sedan;USA;Front;20,3;18,9;3,0;6,0;155,0;20,0;27,0;3306,0;198,0
129;Ford;Taurus SES Duratec 4dr;Sedan;USA;Front;22,7;20,9;3,0;6,0;201,0;19,0;26,0;3313,0;198,0
130;Ford;Crown Victoria 4dr;Sedan;USA;Rear;24,3;22,9;4,6;8,0;224,0;17,0;25,0;4057,0;212,0
131;Ford;Crown Victoria LX 4dr;Sedan;USA;Rear;27,4;25,1;4,6;8,0;224,0;17,0;25,0;4057,0;212,0
132;Ford;Crown Victoria LX Sport 4dr;Sedan;USA;Rear;30,3;27,8;4,6;8,0;239,0;17,0;25,0;4057,0;212,0
133;Ford;Freestar SE;Sedan;USA;Front;26,9;24,5;3,9;6,0;193,0;17,0;23,0;4275,0;201,0
134;Ford;Mustang 2dr (convertible);Sports;USA;Rear;18,3;16,9;3,8;6,0;193,0;20,0;29,0;3290,0;183,0
135;Ford;Mustang GT Premium convertible 2dr;Sports;USA;Rear;29,4;26,9;4,6;8,0;260,0;17,0;25,0;3347,0;183,0
136;Ford;Thunderbird Deluxe convert w/hardtop 2d;Sports;USA;Front;37,5;34,5;3,9;8,0;280,0;17,0;24,0;3780,0;186,0
137;Ford;F-150 Regular Cab XL;Truck;USA;Rear;22,0;19,5;4,6;8,0;231,0;15,0;19,0;4788,0;211,0
138;Ford;F-150 Supercab Lariat;Truck;USA;All;33,5;29,4;5,4;8,0;300,0;14,0;18,0;5464,0;218,0
139;Ford;Ranger 2.3 XL Regular Cab;Truck;USA;Rear;14,4;13,7;2,3;4,0;143,0;24,0;29,0;3028,0;188,0
140;Ford;Focus ZTW;Wagon;USA;Front;17,5;16,4;2,0;4,0;130,0;26,0;33,0;2702,0;178,0
141;Ford;Taurus SE;Wagon;USA;Front;22,3;20,5;3,0;6,0;155,0;19,0;26,0;3497,0;198,0
142;GMC;Envoy XUV SLE;SUV;USA;Front;31,9;28,9;4,2;6,0;275,0;15,0;19,0;4945,0;208,0
143;GMC;Yukon 1500 SLE;SUV;USA;Front;35,7;31,4;4,8;8,0;285,0;16,0;19,0;5042,0;199,0
